Bin,Frequency,Cumulative %,
1,63,0.69%,0.690259669
5,222,3.12%,2.432343596
10,118,4.42%,1.292867317
14,101,5.52%,1.106606771
18,189,7.59%,2.070779007
23,483,12.88%,5.291990797
27,323,16.42%,3.538950367
31,449,21.34%,4.919469705
35,483,26.64%,5.291990797
40,521,32.34%,5.708337899
44,311,35.75%,3.407472335
48,394,40.07%,4.316862058
53,429,44.77%,4.700339652
57,149,46.40%,1.6325189
61,154,48.09%,1.687301413
66,645,55.16%,7.066944231
70,518,60.83%,5.67546839
74,722,68.74%,7.910594938
78,185,70.77%,2.026952997
83,496,76.20%,5.434425331
87,302,79.51%,3.308863811
91,527,85.29%,5.774076915
96,1001,96.25%,10.96745919
100,342,100.00%,3.747123918
More,0,100.00%,
